Average,Ratio,Blood_Prediction
357.25,0.267312871,0
347.25,0.3145766,0
344,0.274473221,0
364,0.229059829,0
349.75,0.264772475,0
337.5,0.219468204,0
348,0.270290275,0
346,0.291870207,0
372.5,0.266857275,0
348.5,0.241153421,0
368.75,0.282189543,0
377.25,0.258742397,0
334.5,0.273728743,0
376.75,0.320135274,0
338.75,0.331270145,0
381.25,0.362957676,0
337.75,0.289109326,0
346.25,0.355131471,0
342,0.214251225,0
366.5,0.290056865,0
407.5,0.409953288,0
336,0.245284674,0
303.5,0.167392942,0
357.75,0.263920114,0
379.25,0.401020409,0
343,0.413900713,0
334.25,0.154735884,0
324.75,0.249386201,0
350.25,0.231651717,0
351.5,0.38930523,0
357.5,0.464821242,0
368.25,0.287958227,0
357,0.30763329,0
337,0.229130516,0
331.75,0.237332113,0
352.25,0.396482776,0
345,0.288390319,0
404.25,0.351884479,0
359.25,0.344676755,0
351.5,0.233869227,0
353,0.28216332,0
333.25,0.435865343,0
343,0.169467787,0
312,0.2724895,0
327,0.238954455,0
292.75,0.230490557,0
295,0.24406659,0
286.25,0.161112258,0
306.75,0.179542851,0
2057.25,0.371735078,0
2078.5,0.366930244,0
2075,0.370956073,0
2049,0.358198589,0
2055.25,0.35898631,0
2053.25,0.361523057,0
2089.75,0.36577208,0
2073,0.386855621,0
2053.25,0.359465791,0
2059.5,0.35799855,0
2053,0.362537743,0
2062,0.366355633,0
1013.5,0.225249274,0
945.5,0.207462407,0
996.25,0.231337154,0
996.75,0.188192289,0
1022,0.244530487,0
1013,0.230359553,0
990.25,0.22136818,0
1002.25,0.228445357,0
1009.5,0.225945877,0
1000,0.240754807,0
957.75,0.167477068,0
1044.75,0.213054827,0
1060.25,0.259596474,0
1020.75,0.257710435,0
983.25,0.186436474,0
1003.5,0.19730038,0
1010.5,0.210658618,0
746.75,0.39057878,0
898.75,0.296549724,0
935.75,0.347274086,0
953,0.297691935,0
898.75,0.287393617,0
871,0.300223735,0
913.25,0.290299027,0
879,0.2612049,0
903.75,0.277866888,0
937.25,0.34127011,0
881.25,0.287124593,0
882.75,0.276548325,0
944.75,0.283953591,0
952.5,0.325369117,0
960.75,0.308276701,0
893.25,0.297911075,0
1213.75,0.443614795,0
1166.5,0.44579357,0
1133.5,0.459996368,0
1198,0.463182845,0
1144,0.506737892,0
1186.25,0.46888087,0
1147.25,0.429558056,0
1168.25,0.436995104,0
1124,0.421034293,0
1171.25,0.484433466,0
1196,0.453587935,0
1172.25,0.442802793,0
1217.25,0.457757161,0
1189.25,0.454124875,0
1210.5,0.484461661,0
1180.75,0.447071743,0
1185.5,0.496313428,0
1143,0.443942092,0
1192.25,0.439705064,0
1164.25,0.482899708,0
741.5,0.619435656,0
701.5,0.660744926,0
699,0.668028846,0
681.5,0.637337783,0
716.25,0.73808619,0
484.25,0.105872068,0
521.5,0.183774527,0
539.75,0.137395413,0
540.75,0.207727987,0
560.25,0.191114693,0
494.25,0.158466754,0
521,0.163471827,0
507.75,0.195028541,0
462,0.169284887,0
445.75,0.083349232,0
470.75,0.103881843,0
564.5,0.214861751,0
491.25,0.18455839,0
488,0.1502968,0
515,0.191617567,0
520.5,0.24474478,0
547,0.173843959,0
491.25,0.102545828,0
573.5,0.198934387,0
537.5,0.15019554,0
511.75,0.172537435,0
513,0.211181018,0
496.25,0.18382909,0
533.5,0.214127184,0
270.75,0.281023287,0
275.5,0.155335969,0
311.75,0.258668931,0
319,0.234190241,0
324.75,0.238761741,0
290.5,0.229759742,0
296.25,0.267423612,0
274.5,0.205559115,0
267.75,0.125798786,0
249.75,0.278266972,0
372.75,0.120278461,0
399.25,0.225253365,0
437,0.219821361,0
457.5,0.220511754,0
395.25,0.250530103,0
687.25,2.413715562,0
507,2.879185394,0
595.25,3.178392857,0
564.75,3.712467465,0
568.5,4.74290393,0
530.5,3.014824012,0
520.25,2.797979798,0
628.5,2.640983635,0
647.5,2.472668148,0
649.5,2.145328761,0
555,2.853785504,0
632.75,2.732540056,0
536.5,3.363322806,0
476.5,3.487479316,0
680.75,2.422668167,0
657,2.762711865,0
1287,0.162331235,0
1280.25,0.150546112,0
1270.25,0.134093071,0
1338.75,0.167457458,0
1298.25,0.151231792,0
1275.5,0.138976833,0
1265.5,0.13566796,0
1247.25,0.13931699,0
1324.5,0.175175574,0
1252.25,0.141508817,0
1295.25,0.165216142,0
1314.5,0.174166705,0
1352.25,0.193465345,0
1365.25,0.197864295,0
1298.25,0.146388623,0
1305.25,0.206329311,0
1269.25,0.14392371,0
1300.5,0.184957568,0
