Vis_450nm,Vis_500nm,Vis_550nm,Vis_570nm,Vis_600nm,Vis_650nm,Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
2396.582471,95.35937653,47.4335907,36.12616844,99.68647309,52.54620743,2995.3604,172.3734985,653.8679687,1424.111401,3824.826367,1788.738965,0
2592.402441,74.53141785,37.0109642,30.51070252,110.78517,53.74044037,3030.892529,152.1779236,585.732666,1339.455078,3819.660986,1811.369287,0
2872.856494,76.36917877,38.92532349,31.63379517,122.2874558,60.66698532,3051.450391,157.5823761,583.6539673,1351.491553,3823.37998,1823.061646,0
2984.595654,69.22233276,36.58555069,27.70296898,134.5969177,58.75621491,3055.511279,158.4357117,586.6565185,1354.300049,3828.54541,1823.438819,0
2982.936133,70.24330902,38.92532501,29.3876091,131.5700012,59.71159973,3053.734668,161.8490417,589.8900635,1368.54314,3825.652832,1826.267627,0
3001.46709,70.65169831,38.4999115,29.76197357,132.1753845,59.95044708,3056.018848,163.2712646,592.6616699,1372.755908,3827.718945,1827.58772,0
3010.041114,71.87687531,38.92532501,30.13633805,132.9825623,61.14467697,3063.125293,168.391272,600.2835938,1391.612988,3836.603223,1834.942554,0
3018.338623,72.28526611,39.13803177,30.32352028,134.7987122,61.86121673,3061.85625,168.9601562,597.9739136,1388.002051,3833.710742,1830.793677,0
3008.934815,72.28526459,38.71261826,29.94915581,131.9735901,61.38352356,3072.008301,168.9601563,598.6668335,1391.612988,3835.156934,1833.811035,0
3011.700635,72.6936554,38.92532425,30.32352028,133.9915344,62.33890991,3066.932275,172.9423858,604.9029541,1408.062793,3843.21499,1838.337109,0
3022.21084,72.89785309,40.2015625,31.07224922,132.377179,62.33890991,3074.292529,175.2179443,603.0552002,1412.275561,3838.462793,1841.165869,0
3020.551269,74.53141632,40.62697525,32.0081604,133.1843567,63.53314209,3076.576758,178.9157226,608.5984131,1426.318066,3843.834717,1844.183252,0
3025.253125,75.7565918,41.26509552,32.19534263,131.9735901,63.53314209,3067.186084,183.1823975,605.3648682,1431.333252,3832.471094,1843.051733,0
3024.7,78.20694122,41.69050904,33.50561676,139.4399841,64.48852539,3079.368554,181.7601745,604.6719726,1425.916846,3834.950342,1844.937622,0
3022.487305,75.14400635,41.05238876,32.19534263,132.1753845,63.53314209,3081.145166,185.4579498,609.0603394,1444.773975,3844.454639,1853.612598,0
3029.678467,75.34819947,41.05238876,32.19534263,133.9915344,63.29429626,3075.307666,186.8801758,606.9816406,1443.770898,3838.669385,1853.046826,0
3037.422803,73.91883087,41.47780228,32.0081604,134.7987122,62.5777565,3086.72876,190.293512,612.5248535,1454.403076,3849.619971,1857.384351,0
3066.463916,73.30624237,41.69050904,31.44661369,136.2112732,61.86121673,3085.205957,189.4401795,606.7506836,1448.184277,3841.975293,1857.195752,0
3070.336035,77.18596039,42.11592255,33.13125267,135.6058899,64.24967956,3098.149805,187.164621,611.3700195,1446.178198,3859.33081,1859.647339,0
