Nir_610nm,Nir_680nm,Nir_730nm,Nir_760nm,Nir_810nm,Nir_860nm,Blood_Prediction
2995.3604,172.3734985,653.8679687,1424.111401,3824.826367,1788.738965,0
3030.892529,152.1779236,585.732666,1339.455078,3819.660986,1811.369287,0
3051.450391,157.5823761,583.6539673,1351.491553,3823.37998,1823.061646,0
3055.511279,158.4357117,586.6565185,1354.300049,3828.54541,1823.438819,0
3053.734668,161.8490417,589.8900635,1368.54314,3825.652832,1826.267627,0
3056.018848,163.2712646,592.6616699,1372.755908,3827.718945,1827.58772,0
3063.125293,168.391272,600.2835938,1391.612988,3836.603223,1834.942554,0
3061.85625,168.9601562,597.9739136,1388.002051,3833.710742,1830.793677,0
3072.008301,168.9601563,598.6668335,1391.612988,3835.156934,1833.811035,0
3066.932275,172.9423858,604.9029541,1408.062793,3843.21499,1838.337109,0
3074.292529,175.2179443,603.0552002,1412.275561,3838.462793,1841.165869,0
3076.576758,178.9157226,608.5984131,1426.318066,3843.834717,1844.183252,0
3067.186084,183.1823975,605.3648682,1431.333252,3832.471094,1843.051733,0
3079.368554,181.7601745,604.6719726,1425.916846,3834.950342,1844.937622,0
3081.145166,185.4579498,609.0603394,1444.773975,3844.454639,1853.612598,0
3075.307666,186.8801758,606.9816406,1443.770898,3838.669385,1853.046826,0
3086.72876,190.293512,612.5248535,1454.403076,3849.619971,1857.384351,0
3085.205957,189.4401795,606.7506836,1448.184277,3841.975293,1857.195752,0
3098.149805,187.164621,611.3700195,1446.178198,3859.33081,1859.647339,0
3087.236426,189.4401825,610.4461548,1453.801245,3847.140576,1857.761499,0
3046.374414,169.8134979,307.64823,1015.273682,3550.856982,1787.79602,0
3027.593115,176.3557251,309.7269409,1028.313123,3523.377441,1776.292285,0
3018.45625,182.8979523,307.4172668,1034.933179,3504.782276,1774.783569,0
3015.156934,185.7424011,311.1127441,1046.568432,3509.327734,1776.669433,0
3034.95332,186.0268463,309.2650024,1038.945349,3521.51792,1782.892822,0
3019.979101,186.3112854,308.8030701,1044.562353,3505.815332,1778.932495,0
3027.846924,190.5779572,313.4224121,1056.59878,3514.699658,1781.761279,0
3023.278467,192.0001831,312.9604736,1058.404248,3513.873291,1782.515649,0
3028.100684,194.5601898,314.1153076,1064.221851,3510.980664,1783.269971,0
3027.846973,196.551294,317.1178833,1070.841895,3518.005469,1784.212915,0
3020.23291,199.3957428,313.8843384,1073.650391,3499.616894,1782.327051,0
3031.146289,202.5246399,320.5823853,1086.890454,3519.865088,1787.607446,0
3025.308887,205.3690826,317.8107849,1086.489282,3509.947607,1786.475928,0
3031.653906,206.2224152,318.5036865,1088.896557,3515.319532,1788.173242,0
3092.82002,181.7601684,320.5823914,1048.574512,3603.75,1812.877978,0
3088.251611,187.7335083,317.5798157,1063.218823,3582.468896,1814.009497,0
3075.815332,195.4135193,320.8133545,1077.060742,3565.939795,1807.974756,0
3066.678467,197.1201813,315.2701477,1073.44978,3547.75791,1805.334521,0
3069.216455,198.2579621,317.1178772,1077.261304,3551.270264,1805.52312,0
3068.962744,198.5424072,318.7346497,1082.075903,3554.782715,1807.974731,0
2829.88208,116.9067779,226.5787659,791.3958862,3232.672461,1628.44082,0
2807.29375,112.9245529,218.2639496,766.520581,3200.23418,1613.165308,0
2789.273926,111.7867737,212.2588043,754.6847534,3172.341357,1604.301758,0
2785.974463,111.2178833,211.5659027,751.4750366,3167.382617,1601.850147,0
2777.852832,110.0801041,209.7181641,745.2562134,3156.018945,1595.815405,0
2771.761621,109.7956589,209.9491333,745.2562134,3153.126319,1593.929566,0
2771.000196,109.7956604,209.9491303,744.453772,3150.027149,1592.043701,0
2768.462207,110.0801056,210.4110657,747.0616699,3149.613916,1592.420874,0
2765.67041,110.6489945,209.487201,743.2501221,3142.589014,1588.083398,0
2764.401416,110.3645508,211.3349335,746.6604492,3145.894873,1589.214893,0
2765.162793,110.0801056,211.5659058,747.4628662,3146.101465,1589.026343,0
2769.47749,110.3645493,211.5659027,748.2653198,3151.060205,1591.477954,0
2765.162842,110.6489945,211.7968689,747.2622681,3147.754395,1588.837744,0
2765.924219,110.0801056,211.5658996,746.0586304,3145.894824,1588.271997,0
2763.386231,109.7956604,210.4110687,744.2531738,3141.556006,1588.460547,0
2760.848145,108.9423248,209.2562348,741.4446655,3140.522949,1587.517627,0
2763.893799,108.3734375,205.5607575,734.2227905,3136.597217,1588.83772,0
2765.67041,107.8045456,205.7917236,735.8276489,3138.870019,1590.157837,0
2764.401367,107.8045471,206.4846252,736.4294678,3139.696484,1589.780688,0
2759.832959,106.9512146,205.3297882,732.4173218,3131.638623,1585.631763,0
4582.378711,290.4180481,546.0063232,1440.561182,3746.31333,1968.2729,0
4494.309668,270.5069214,506.9728699,1326.415601,3626.477441,1917.354688,0
4501.923633,231.2535553,509.0515747,1207.856689,3703.750928,1869.830981,0
4515.882715,236.9424469,508.5896362,1224.306519,3695.073096,1878.128784,0
4485.680371,242.0624481,514.1328552,1248.580005,3686.602051,1867.56792,0
4493.548242,256.2846863,527.9908813,1297.728784,3710.155957,1875.111401,0
4480.604297,256.2846832,529.8386109,1299.133008,3709.536133,1868.32229,0
4476.797461,256.0002441,530.5315186,1298.531201,3708.296387,1866.436426,0
4472.990332,255.7157959,530.5315186,1298.531201,3709.122901,1864.927759,0
4470.959864,255.7157989,530.9934571,1296.725732,3710.155908,1863.984839,0
4469.690821,255.1469086,529.3766724,1294.117871,3705.197168,1863.796265,0
4469.690821,254.5780182,530.0695801,1294.719653,3707.05669,1865.116357,0
4469.437012,255.7157989,531.2244263,1297.92937,3710.3625,1864.362012,0
4469.944629,256.5691253,531.917334,1300.737891,3709.742676,1866.247827,0
4472.482715,255.7157989,532.6102417,1300.33667,3711.808789,1865.870654,0
4472.990332,256.5691314,532.6102417,1303.14519,3710.982373,1867.56792,0
4472.736524,256.8535705,533.0721802,1302.94458,3711.602246,1867.002148,0
4475.27461,258.2757934,532.6102417,1304.348804,3711.808789,1869.453784,0
4478.573926,256.5691284,533.0721802,1302.342749,3713.255127,1869.076587,0
4481.873242,256.5691284,534.2269898,1303.947608,3718.627099,1870.20813,0
3895.339013,166.6846069,337.2120239,1173.352246,3549.617432,1910.376978,0
